title,composer,style,key,transpose,comp_style,bpm,repeats,time_signature,chords
Manteca,Gillespie Dizzy,Latin,Bb,,0,0,,"(4, 4)","['Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Ab7', 'Gb^7', 'B^', 'F7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Ab7', 'Gb^7', 'B^', 'F7', 'Ab-7', 'Db13b9', 'Gb^7', 'B9#11', 'Bb9', 'Eb9', 'Ab^7', 'Ab^7', 'Ab-9', 'Db7b9', 'Gb^7', 'F#h7', 'B7b9', 'Fh7', 'Bb7b9', 'Ch7', 'F7b9', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Ab7', 'Gb^7', 'B^', 'F7']"
Maputo,Miller Marcus,Fusion,G-,,Jazz-Even 8ths Open,95,3,"(4, 4)","['G-', 'G-', 'D-', 'G-', 'G-', 'D-', 'G-', 'Fsus', 'Bb', 'F/A', 'G-', 'D-', 'G-', 'G-', 'G-', 'Fsus', 'Bb', 'F/A', 'G-', 'D-', 'G-', 'G-', 'Eb^7', 'G-', 'Eb^7', 'G-', 'C-', 'G-', 'Bb7', 'Eb^7', 'G-9', 'G-9', 'G-9', 'F', 'G-', 'G-', 'G-', 'Fsus', 'G-', 'G-', 'G-', 'G-', 'G-', 'G-', 'G-', 'G-', 'Eb^7', 'G-', 'Eb^7', 'G-', 'C-', 'G-', 'Bb7', 'Eb^7', 'G-9', 'G-9', 'G-9', 'F', 'G-', 'G-', 'G-', 'Fsus', 'Bb', 'F/A', 'G-', 'D-', 'G-', 'G-', 'G-', 'D-', 'G-', 'G-', 'Fsus', 'G-', 'Eb^7', 'G-', 'Eb^7', 'G-', 'C-', 'G-', 'Bb7', 'Eb^7', 'G-9', 'G-9', 'G-9', 'F', 'G-', 'G-']"
Marching Through Georgia,Henry Clay Work (1865),Medium Swing,Bb,,0,0,,"(4, 4)","['Bb', 'Bb', 'Eb', 'Bb', 'Bb', 'Bb', 'C7', 'F7', 'Bb', 'Eb', 'Bb', 'G7', 'C7', 'F7', 'Bb', 'Bb']"
Mardi Gras Parade,Mares Joseph,Medium Swing,Eb,,0,0,,"(4, 4)","['Eb', 'Eb', 'Eb', 'Eb', 'Eb', 'Eb', 'Bb7', 'Bb7', 'F-', 'F-', 'F-', 'F-', 'F-7', 'Bb7', 'Eb', 'Eb', 'Ab', 'Ab', 'Ab', 'Ab', 'Eb', 'C7', 'F7', 'Bb7', 'Eb', 'Eb', 'Eb', 'C7', 'F7', 'Bb7', 'Eb', 'Eb', 'Ab', 'Db', 'Ab', 'Ab', 'Db', 'Db', 'Ab', 'Ab7', 'Db', 'Db', 'Ab', 'F7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Ab', 'Db', 'Ab', 'Ab', 'Db', 'Db', 'C7', 'C7', 'Db', 'Db', 'Ab', 'F7', 'Bb7', 'Eb7', 'Ab', 'Ab']"
Margie (Dixieland Tunes),"J Russell Robinson, Con Conrad, Benny Davis (1920)",Medium Swing,F,,0,0,,"(4, 4)","['F', 'F', 'F', 'F7', 'Bb', 'Bb', 'Bb', 'Bb', 'F', 'F', 'D7', 'D7', 'G7', 'G7', 'C7', 'C7', 'F', 'F', 'F', 'F7', 'Bb', 'Bb', 'A7', 'A7', 'F', 'F', 'F', 'D7', 'G-7', 'C7', 'F', 'F', 'C7']"
Maria Elana,"Barcelata, Russell (1933)",Medium Swing,C,,0,0,,"(4, 4)","['C', 'C', 'D-', 'D-', 'G7', 'G7', 'G+', 'C', 'C', 'C', 'C', 'Ebo', 'D-', 'G7', 'G7', 'C', 'C', 'C', 'C', 'D-', 'D-', 'E7', 'E7', 'A-', 'A-', 'F', 'F-', 'C', 'C', 'D7', 'G7', 'C', 'C']"
Marie (Dixieland Tunes),Berlin Irving,Medium Swing,F,,0,0,,"(4, 4)","['Bb', 'Bb', 'Bb', 'Bb', 'Bb-', 'F', 'F', 'F', 'F', 'Fo', 'C7', 'C7', 'G-7', 'C7', 'F', 'C7', 'F', 'F+', 'Bb', 'Bb', 'Bb', 'Bb', 'Bb-', 'F', 'F', 'F', 'F', 'Fo', 'C7', 'C7', 'G-7', 'C7', 'F', 'Bb', 'F', 'F7']"
Martha (Maizie),"Lew Gold, Eli Dawson, Sidney Caine (1921)",Medium Swing,F,,0,0,,"(4, 4)","['F', 'F', 'A7', 'A7', 'D7', 'D7', 'G-', 'G-', 'C7', 'C7', 'F', 'D7', 'G7', 'G7', 'C7', 'C7', 'F', 'F', 'A7', 'A7', 'D7', 'D7', 'G-', 'G-', 'Bb', 'Bb-', 'F', 'D7', 'G7', 'C7', 'F', 'F']"
"Martinique, The",Wilbur De Paris (1954),Medium Swing,Bb,,0,0,,"(4, 4)","['F7', 'F7', 'Bb', 'Bb', 'F7', 'F7', 'Bb', 'Bb', 'F7', 'F7', 'Bb', 'Bb', 'F7', 'F7', 'Bb', 'Bb7', 'Eb', 'Eb', 'Eb', 'Eb', 'C7', 'C7', 'F7', 'F7', 'F7', 'F7', 'Bb', 'Bb', 'F7', 'F7', 'Bb-', 'Bb-', 'Bb', 'Bb', 'A7', 'A7', 'Bb-', 'Bb-', 'Bb-', 'Bb-', 'Bb-', 'Bb-', 'Bb-', 'Bb-', 'Bb-', 'Bb-', 'Bb-', 'Bb-', 'Bb-', 'Bb-', 'Bb-', 'Bb-', 'D7', 'D7', 'F7', 'F7', 'Bb', 'Bb', 'Ab7', 'Ab7', 'Db', 'Db', 'Ab7', 'Ab7', 'Db', 'Db', 'Ab7', 'Ab7', 'Db', 'Db', 'Ab7', 'Ab7', 'Db', 'Db7', 'Gb', 'Gb', 'Gb', 'Gb', 'Eb7', 'Eb7', 'Ab7', 'Ab7', 'Ab7', 'Ab7', 'Db', 'Db', 'F7', 'Ab7', 'Db', 'Db', 'Db', 'Db']"
Mary Wore A Golden Chain,Traditional,Medium Swing,Eb,,0,0,,"(4, 4)","['Eb', 'Eb', 'Eb', 'Eb', 'Bb7', 'Bb7', 'Eb', 'Eb', 'Ab', 'Ab', 'Eb', 'Eb', 'Bb7', 'Bb7', 'Eb', 'Eb']"
"Maryland, My Maryland (O Chrismas Tree, O Tannenbaum)",James Ryder Randall (1861),Medium Swing,F,,0,0,,"(4, 4)","['F', 'F', 'F', 'C7', 'F', 'C7', 'C7', 'F', 'F', 'C7', 'C7', 'F', 'F', 'C7', 'C7', 'F', 'F', 'A-', 'A-', 'A-', 'C7', 'F', 'A-', 'G-', 'F', 'G-', 'F', 'G-', 'F', 'C7', 'C7', 'F', 'F', 'F', 'A-', 'G-', 'F', 'A-', 'G-', 'F', 'G-', 'F', 'C7', 'F', 'F', 'F', 'F', 'C7', 'F', 'F', 'C7', 'C7', 'F', 'F', 'F', 'F', 'C7', 'F', 'F', 'C7', 'C7', 'F', 'F', 'D7', 'D7', 'G-', 'G-7', 'C7', 'C7', 'F', 'F', 'C7', 'F', 'F', 'C7', 'F', 'F', 'C7', 'C7', 'F', 'F']"
Mas Que Nada,Ben Jorge,Latin,F-,,0,0,,"(4, 4)","['F-7', 'Bb7', 'F-7', 'Bb7', 'Bb-7', 'Eb7', 'F-7', 'C7sus', 'F-7', 'Bb7', 'F-7', 'Bb7', 'F-7', 'Bb7', 'F-7', 'C-', 'B-', 'Bb-7', 'Eb7', 'F-7', 'C7sus', 'F-7', 'C7#9', 'F-7', 'C7#9', 'F-7', 'C7#9', 'C7#5', 'F-7', 'Bb7', 'F-7', 'Bb7', 'Bb-7', 'Eb7', 'Ab6', 'Ab6', 'Bb7/D', 'Eb7/Db', 'C7#9', 'F-7', 'C7#9', 'F-7', 'C7#9', 'F-7', 'C7#9', 'C7#5', 'F-7', 'Bb7', 'F-7', 'Bb7']"
"Masquerade Is Over, The",Wrubel Allie,Ballad,Eb,,0,0,,"(4, 4)","['Eb^7', 'Dh7', 'G7b9', 'C-7', 'F7', 'Bb-7', 'Eb7', 'Ab^7', 'G-7', 'C7b9', 'F7', 'F-7', 'Bb7', 'Eb^7', 'Bb-7', 'Eb7', 'Ab^7', 'Db7', 'G-7', 'C7', 'F-7', 'Bb7', 'Eb^7', 'Dh7', 'G7b9', 'C-7', 'F7', 'Bb-7', 'Eb7', 'Ab^7', 'G-7', 'C7b9', 'F7', 'F-7', 'Bb7', 'Eb^7', 'Bb-7', 'Eb7', 'Ab^7', 'Db7', 'G-7', 'C7', 'F-7', 'Bb7', 'Eb6', 'Db7', 'Eb6', 'C7', 'F-7', 'Bb7', 'G-7', 'C7', 'F-7', 'Bb7', 'Eb^7', 'Ah7', 'D7b9', 'G-7', 'C7', 'C-7', 'F7', 'F-7', 'Bb7', 'Eb^7', 'Dh7', 'G7b9', 'C-7', 'F7', 'Bb-7', 'Eb7', 'Ab^7', 'G-7', 'C7b9', 'F7', 'F-7', 'Bb7', 'Eb^7', 'Bb-7', 'Eb7', 'Ab^7', 'Db7', 'G-7', 'C7', 'F-7', 'Bb7sus', 'Eb6', 'F-7', 'Bb7']"
Maybe I Should Change My Ways,Ellington Duke,Ballad,Bb,,0,0,,"(4, 4)","['Ch7', 'F7b9', 'Bb^7', 'Eb13', 'D7#5', 'G9', 'C13', 'B13', 'Bb13', 'Eb^7', 'Eb^7', 'Eb^7', 'Eb-6', 'Ab7', 'Bb^7', 'D-7', 'Db7#11', 'Ch7', 'G7', 'C7', 'F7', 'Bb^7', 'Bb^7', 'Ch7', 'F7b9', 'Bb^7', 'Eb13', 'D7#5', 'G9', 'C13', 'B13', 'Bb13', 'Eb^7', 'Eb^7', 'Eb^7', 'Eb-6', 'Ab7', 'Bb^7', 'D-7', 'Db7#11', 'Ch7', 'G7', 'C7', 'F7', 'Bb6', 'Bb6']"
Maybe September,Faith Percy,Samba,Bb-,,0,0,,"(4, 4)","['Bb-', 'Bb-/A', 'Bb-7/Ab', 'Gh7', 'Gb^7', 'F7', 'Bb-9', 'Eb13', 'Bb-7', 'A13', 'Ab7sus', 'Ab9', 'Db^7', 'F7#5', 'Bb-7', 'Bb-7/Ab', 'Gh7', 'Gb7', 'Ch7/F', 'F7b9', 'Bb-', 'Bb-/A', 'Bb-7/Ab', 'Gh7', 'Gb^7', 'F7', 'Bb-9', 'Eb13', 'Bb-7', 'A13', 'Ab7sus', 'Ab9', 'Db^7', 'Ch7', 'Bb-7', 'Bb-7/Ab', 'Gh7', 'Gb-7', 'Bb-7/F', 'F7#5', 'Bb7sus', 'Bb7sus', 'F7sus', 'F9#11', 'Bb^7/F', 'G7/F', 'F7sus', 'F7sus', 'Bb^7/F', 'Fo7', 'F7sus', 'F7#11', 'Ch7/F', 'G7/F', 'F7sus', 'F7sus', 'F-11', 'Ch7/F']"
"Maze, The",Hancock Herbie,Medium Swing,E-,,0,0,,"(4, 4)","['E-7', 'A/E', 'E-7', 'A/E', 'E-7', 'A/E', 'E-7', 'A/E', 'A-7', 'G-7', 'F#h7', 'F13', 'E-7', 'A/E', 'E-7', 'A/E', 'A-7', 'G-7', 'F#h7', 'F13', 'E-7', 'A7', 'E-7', 'A7', 'A-7', 'G-7', 'F#7b5', 'B7b9', 'E-7', 'A7', 'E-7', 'A7', 'A-7', 'G-7', 'F#7b5', 'B7b9', 'E-7', 'A/E', 'E-7', 'A/E', 'E-7', 'A/E', 'E-7', 'A/E', 'A-7', 'G-7', 'F#h7', 'F^7']"
Mc Jolt,Beirach Richie,Medium Up Swing,Eb-,,0,0,,"(4, 4)","['E-7', 'E-7', 'Eb-7', 'Eb-7', 'B^7#11', 'Bb-11', 'D7sus', 'D7#9', 'G-7', 'A7b9b13', 'D-7', 'F7sus', 'Ab-11', 'Bb7b9b13', 'Eb-7', 'Gb7sus', 'E-7', 'E-7', 'Eb-7', 'Eb-7', 'B^7#11', 'Bb-11', 'D7sus', 'D7#9', 'G-7', 'A7b9b13', 'D-7', 'F7sus', 'Ab-11', 'Bb7b9b13', 'Eb-7', 'Gb7sus', 'E-7', 'E-7', 'Eb-7', 'Eb-7', 'B^7#11', 'Bb-11', 'D7sus', 'D7#9', 'G-7', 'A7b9b13', 'D-7', 'F7sus', 'Ab-11', 'Bb7b9b13', 'Eb-7', 'Gb7sus', 'Ab-11', 'Bb7b9b13', 'Eb-7', 'Gb7sus', 'Ab-11', 'Bb7b9b13', 'Eb-7', 'Gb7sus']"
Me And Jane In A Plane,"Joseph Gilbert, Edgar Leslie (1927)",Medium Swing,F,,0,0,,"(4, 4)","['F', 'F', 'F', 'C7', 'C7', 'C7', 'C7', 'F', 'Bb', 'Bb', 'F', 'F', 'G7', 'G7', 'C7', 'C7', 'F', 'F', 'F', 'C7', 'C7', 'C7', 'C7', 'A7', 'F', 'F7', 'Bb', 'Bo', 'F', 'C7', 'C7', 'F', 'F', 'F', 'C7', 'C7', 'F', 'F', 'C7', 'C7', 'F', 'F', 'C7', 'C7', 'G7', 'G7', 'C7', 'C7']"
Me And My Shadow,"Dave Dreyer, Al Jolson, Billy Rose (1927)",Medium Swing,Eb,,0,0,,"(4, 4)","['Eb', 'Eb', 'Ab-', 'F-', 'F-', 'F-', 'Bb7', 'Eb', 'F-7', 'Bb', 'Eb', 'Eb', 'D7', 'D7', 'C-', 'Eb-', 'F7', 'Bb7', 'Bb7', 'Eb', 'Eb', 'Eb7', 'Ab', 'Ab', 'D7', 'C7', 'C7', 'F7', 'Bb7', 'Eb', 'Eb', 'Ab-', 'F-', 'F-', 'F-7', 'Bb7', 'Eb', 'B7', 'F-7', 'Bb7']"
Mean To Me,Turk-Ahlert,Medium Swing,F,,0,0,,"(4, 4)","['F^7', 'F#o7', 'G-7', 'C7', 'F^7', 'C-7', 'F7', 'Bb^7', 'Eb7', 'A-7', 'D7', 'G-7', 'C7', 'F6', 'D-7', 'G7', 'C7', 'F^7', 'F#o7', 'G-7', 'C7', 'F^7', 'C-7', 'F7', 'Bb^7', 'Eb7', 'A-7', 'D7', 'G-7', 'C7', 'F6', 'D-7', 'F6', 'C-7', 'F7', 'Bb6', 'C7', 'F7', 'Bb6', 'Eb7', 'D7', 'G-7', 'Eb7', 'D7', 'G7', 'C7', 'F^7', 'F#o7', 'G-7', 'C7', 'F^7', 'C-7', 'F7', 'Bb^7', 'Eb7', 'A-7', 'D7', 'G-7', 'C7', 'F6', 'D-7', 'G7', 'C7']"
Mean To Me (Dixieland Tunes),"Fred E Ahlert, Roy Turk (1929)",Medium Swing,F,,0,0,,"(4, 4)","['F', 'F#', 'G-7', 'G#o', 'F', 'F+', 'Bb', 'Eb7', 'F', 'D7', 'G-7', 'C7', 'F', 'D-', 'G-7', 'C7', 'F', 'F#', 'G-7', 'G#o', 'F', 'F+', 'Bb', 'Eb7', 'F', 'D7', 'G-7', 'C7', 'F', 'D-', 'G-7', 'C7', 'Bb', 'G-', 'C-7', 'F7', 'Bb', 'Bb', 'D7', 'G-', 'Eb7', 'D7', 'G7', 'C-7', 'C+', 'F', 'F#', 'G-7', 'G#o', 'F', 'F+', 'Bb', 'Eb7', 'F', 'D7', 'G-7', 'C7', 'F', 'D-', 'G-7', 'C7']"
"Meaning Of The Blues, The",Worth-Troup,Even 8ths,D-,,0,0,,"(4, 4)","['D-', 'D-b6', 'D-6', 'D-7', 'G-7', 'G-7/F', 'Eh7', 'A7b9', 'D-', 'D-^7', 'D-7', 'D-6', 'G-7', 'Bb-6', 'C7', 'F^7', 'D-7', 'G-7', 'C7', 'F^7', 'Eh7', 'A7b9', 'D-', 'D-b6', 'D-6', 'D-7', 'G-7', 'Bb7', 'A7b9', 'D-', 'D-b6', 'D-6', 'D-7', 'G-7', 'G-7/F', 'Eh7', 'A7b9', 'D-', 'D-^7', 'D-7', 'D-6', 'G-7', 'Bb-6', 'C7', 'C-7', 'F7sus', 'F7', 'Bb^7', 'Bb-6', 'Eb7', 'D-', 'D-b6', 'D-6', 'D-7', 'G-7', 'Bb7', 'A7', 'D-']"
Meditation,Jobim Antonio-Carlos,Bossa Nova,C,,0,0,,"(4, 4)","['C6', 'C6', 'B7sus', 'B7', 'C6', 'C6', 'E-7', 'A7b13', 'D-7', 'D-7', 'F-6', 'F-6', 'E-7', 'A7b13', 'D-7', 'G7#5', 'C6', 'C6', 'B7sus', 'B7', 'C6', 'C6', 'E-7', 'A7b13', 'D-7', 'D-7', 'F-6', 'F-6', 'E-7', 'A7b13', 'D-7', 'G7#5', 'F^7', 'F^7', 'F-6', 'F-6', 'E-7', 'Ebo7', 'D-7', 'G7#5', 'C6', 'C6', 'B7sus', 'B7', 'C6', 'C6', 'E-7', 'A7b13', 'D-7', 'D-7', 'F-6', 'F-6', 'E-7', 'A7b13', 'D-7', 'G7', 'C6', 'D-7', 'G7']"
Meet Me Tonight In Dreamland,"Leo Friedman, Beth Slater Whitson (1909)",Medium Swing,Bb,,0,0,,"(4, 4)","['Bb', 'G+', 'G7', 'C7', 'C7', 'F7', 'F7', 'Bb', 'Bb', 'Ab7', 'G7', 'G+', 'G7', 'C7', 'C7', 'C7', 'C7', 'F7', 'F7', 'Bb', 'G+', 'G7', 'C7', 'C7', 'F7', 'F7', 'Bb', 'Bb7', 'Eb', 'Eo', 'Bb', 'G7', 'C7', 'F7', 'Bb', 'Bb']"
Melancholy (Blues) (AKA St Louis St. Blues),"Bloom, Melrose (1927)",Medium Swing,F,,0,0,,"(4, 4)","['F', 'F', 'F', 'G7', 'C7', 'D-', 'G-', 'A7', 'D-', 'G-', 'A7', 'G-', 'D-', 'D-', 'G-', 'A7', 'D-', 'G-', 'A7', 'G-', 'A7', 'C7', 'F7', 'F7', 'Bb7', 'Bb7', 'Bo', 'F', 'D7', 'G7', 'C7', 'F', 'C7', 'F7', 'F7', 'Bb7', 'Bb7', 'G7', 'G7', 'C7', 'C7', 'F7', 'F7', 'Bb7', 'Bb7', 'D7', 'D7', 'G7', 'C7', 'F7', 'F7', 'Bb7', 'Bb7', 'Bo', 'F', 'D7', 'G7', 'C7', 'F', 'F']"
Melancholy Blues 1,"Marty Bloom, Walter Melrose 1927",Medium Ballad,F,,0,0,,"(4, 4)","['F', 'F', 'F', 'F', 'F', 'G7', 'C7', 'D-', 'A7', 'D-', 'A7', 'Bb7', 'Bb7', 'A7', 'D-', 'D-', 'D-', 'D-', 'D-', 'A7', 'D-', 'A7', 'Bb7', 'Bb7', 'A7', 'C7', 'F', 'F7', 'Bb7', 'Bb7', 'Bo', 'F', 'D7', 'G7', 'C7', 'F', 'C7', 'F', 'F7', 'Bb7', 'Bb7', 'G7', 'G7', 'C7', 'C7', 'F7', 'F7', 'Bb', 'Bb', 'D7', 'D7', 'G7', 'C7', 'F', 'F7', 'Bb7', 'Bb7', 'Bo', 'F', 'D7', 'G7', 'C7', 'F', 'Bb', 'F']"
Memories,"Egbert Van Alstyne, Gus Kahn 1935",Medium Ballad,F,,0,0,,"(4, 4)","['F', 'F', 'G7', 'G7', 'C7', 'C7', 'F', 'F7', 'Bb', 'Bb', 'F', 'D7', 'G7', 'G7', 'C7', 'C7', 'F', 'F', 'G7', 'G7', 'C7', 'C7', 'F', 'F7', 'Bb', 'Fo', 'F', 'D7', 'G7', 'C7', 'F', 'F']"
Memories Of Tomorrow,Jarrett Keith,Even 8ths,A-,,0,0,,"(4, 4)","['A-', 'A-^7', 'A-7', 'E-7', 'F', 'C', 'G9sus', 'C', 'D/F#', 'F', 'C', 'Eb^7', 'A7', 'Ab^7', 'G-', 'F-7', 'Bb9sus', 'C', 'E7sus', 'E7', 'A-', 'F-/Ab', 'C^7/G', 'D/F#', 'F^7', 'F-', 'C/G', 'G9sus', 'C', 'E7sus', 'E7']"
Memories Of You,Blake Eubie,Ballad,Eb,,0,0,,"(4, 4)","['Eb^7', 'Eo7', 'F-7', 'F#o7', 'Eb^7/G', 'C-7', 'Ah7', 'Ab-6', 'Eb^7', 'D7', 'Db7', 'C7', 'F7', 'Bb7', 'Eb6', 'F-7', 'Bb7', 'Eb^7', 'Eo7', 'F-7', 'F#o7', 'Eb^7/G', 'C-7', 'Ah7', 'Ab-6', 'Eb^7', 'D7', 'Db7', 'C7', 'F7', 'Bb7', 'Eb6', 'Dh', 'G7', 'C-7', 'Ab7', 'C-7', 'F7', 'G7b13', 'C-7', 'F7sus', 'F7', 'F-7', 'Bb7', 'Eb^7', 'Eo7', 'F-7', 'F#o7', 'Eb^7/G', 'C-7', 'Ah7', 'Ab-6', 'Eb^7', 'D7', 'Db7', 'C7', 'F7', 'Bb7', 'Eb6', 'F-7', 'Bb7']"
Memories Of You (Dixieland Tunes),"Eubie Blake, Andy Razaf 1930",Medium Swing,Eb,,0,0,,"(4, 4)","['Eb', 'Eo', 'F-', 'Gbo', 'Eb', 'F7', 'Eb', 'C-', 'Bb-', 'C7', 'F7', 'Bb7', 'Eb', 'Bb7', 'Eb', 'Eo', 'F-', 'Gbo', 'Eb', 'F7', 'Eb', 'C-', 'Bb-', 'C7', 'F7', 'Bb7', 'Eb', 'G7', 'C-', 'F-', 'C-', 'F7', 'C-', 'F7', 'F-7', 'Bb7', 'Eb', 'Eo', 'F-', 'Gbo', 'Eb', 'F7', 'Eb', 'C-', 'Bb-', 'C7', 'F7', 'Bb7', 'Eb', 'Eb', 'F-7', 'Bb7', 'Eb', 'F-7', 'Bb7', 'Eb', 'Ebo', 'F-7', 'Bb7', 'Eb', 'F-7', 'Bb7', 'Eb', 'D+', 'D7', 'D7', 'G-', 'Bbo', 'Bb', 'G-', 'C7', 'F7', 'F-7', 'Bb7']"
Memphis Blues,"W C Handy, George Norton 1912",Medium Blues,Bb,,0,0,,"(4, 4)","['C7', 'C7', 'F', 'F', 'C7', 'C7', 'A7', 'A7', 'D7', 'D7', 'G7', 'G7', 'C7', 'C7', 'F', 'C7', 'F', 'C7', 'G7', 'C7', 'F', 'F']"
Mercy Mercy Mercy,Zawinul Joe,Funk,Bb,,0,0,,"(4, 4)","['Bb7', 'Eb7', 'Bb7', 'Eb7', 'Bb7', 'Eb7', 'Bb7', 'Eb7', 'Bb', 'Eb/Bb', 'Bb7', 'Eb/Bb', 'Bb', 'Eb/Bb', 'Bb7', 'Eb/Bb', 'Bb', 'Bb/D', 'Eb', 'F7sus', 'Bb', 'Bb/D', 'Eb', 'F7sus', 'C-7', 'D-7', 'G-', 'F', 'G-', 'F', 'G-']"
Mexicali Rose,"Tenney, Stone (1923)",Medium Swing,Ab,,0,0,,"(4, 4)","['Ab', 'Ab', 'Ab', 'Ab', 'Ab', 'Ab', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Bb-7', 'Eb7', 'Eb7', 'Eb7', 'Ab', 'Ab', 'Ab', 'Ab', 'Ab', 'Ab', 'Ab7', 'Ab7', 'Db', 'F7', 'Bb-', 'Db', 'Db-', 'Ab', 'F7', 'Bb7', 'Eb7', 'Ab', 'Ab']"
Michigan Water Blues,Clarence Williams (1923),Medium Swing,Eb,,0,0,,"(4, 4)","['Eb', 'Eb7', 'Ab', 'Ab-', 'Eb', 'F7', 'Eb', 'Eb7', 'Ab7', 'Ab7', 'Ao', 'Eb', 'Bb7', 'Eb', 'Gbo', 'Bb7', 'F7', 'Bb7', 'Eb', 'Ab', 'Eb']"
Midnight Blue,Burrell Kenny,Medium Swing,Ab,,0,0,,"(4, 4)","['F-7', 'G-7', 'Ab^7', 'G-7', 'F-7', 'G-7', 'Ab^7', 'G-7', 'Ab^7', 'G-7', 'Ab^7', 'G-7', 'Ab^7', 'G-7', 'Ab^7', 'C7#9', 'Ab^7', 'G-7', 'Ab^7', 'C7#9', 'Ab^7', 'C7#9', 'F-7', 'C7#9', 'F-7', 'Gh7', 'C7b9#5', 'F-7', 'Bb9', 'Bb-9', 'Ab-9', 'C7#9#5', 'F-', 'F-', 'F-', 'C7#9', 'F-7', 'G-7', 'Ab^7', 'C7#9', 'F-7', 'G-7', 'Ab^7', 'C7#9', 'Ab^7', 'C7#9', 'F-7', 'C7#9', 'F-7', 'Gh7', 'C7b9#5', 'F-7', 'Bb9', 'Bb-9', 'Ab-9', 'C7#9#5', 'F-', 'F-', 'F-', 'C7#9', 'F-7', 'G-7', 'Ab^7', 'G-7', 'F-7', 'G-7', 'Ab^7', 'G-7', 'Ab^7', 'G-7', 'F-7', 'G-7', 'Ab^7', 'Gh7', 'C7b9#5', 'F-7', 'F-7', 'Bb-7', 'Bb-7', 'Db9', 'C7b9#5', 'F-7', 'G-7', 'Ab^7', 'G-7', 'F-7', 'G-7', 'Ab^7', 'G-7', 'Ab^7', 'G-7', 'F-7', 'G-7', 'Ab^7', 'Gh7', 'C7b9#5', 'F-7', 'F-7', 'Bb-7', 'Bb-7', 'Db9', 'C7b9#5', 'F-7', 'G-7', 'Ab^7', 'C7#9', 'F-7', 'G-7', 'Ab^7', 'C7#9', 'Ab^7', 'C7#9', 'F-7', 'C7#9', 'F-7', 'Gh7', 'C7b9#5', 'F-7', 'Bb9', 'Bb-9', 'Ab-9', 'C7#9#5', 'F-', 'F-', 'F-', 'C7#9', 'F-7', 'G-7', 'Ab^7', 'G-7', 'F-7', 'G-7', 'Ab^7', 'G-7', 'Ab^7', 'G-7']"
Midnight In Moscow,"Vassili Soloviev, M Matusovosky (1961)",Medium Swing,D-,,0,0,,"(4, 4)","['D-', 'G-', 'D-', 'A7', 'D-', 'C7', 'F', 'Bb', 'C7', 'F', 'E7', 'A7', 'D-', 'D-', 'G-', 'G-', 'D-', 'A7', 'D-', 'F7', 'A7', 'D-', 'D-', 'G-', 'G-', 'D-', 'A7', 'D-', 'D-']"
Midnight Mood,Zawinul Joe,Waltz,Db,,0,0,,"(3, 4)","['Db^7', 'Ebh7/Db', 'Db^7', 'Ebh7/Db', 'Db^7', 'Ebh7/Db', 'Db^7', 'G7b9b5', 'Gb^7', 'C7#9', 'F-7', 'Bb-7', 'Eb-7', 'Eb-7/Ab', 'Ab-7/Db', 'Ab-7/Db', 'G7b9b5', 'G7b9b5', 'Gb^7', 'C7#9', 'F-7', 'Bb7#9', 'Eb-7', 'Ab7', 'Db^7', 'Ebh7/Db']"
Midnight Sun,Hampton-Burke-Mercer,Medium Swing,C,,0,0,,"(4, 4)","['C^7', 'C6', 'C^7', 'C-7', 'F9#11', 'F9#11', 'Bb^7', 'Bb6', 'Bb^7', 'Bb-7', 'Eb9#11', 'Eb9#11', 'Ab^7', 'Ab6', 'Ab^7', 'Ab-7', 'Db9#11', 'Db9#11', 'C^7', 'D-7', 'G7', 'C^7', 'A-7', 'F#h7', 'B7', 'E^7', 'E-7', 'A7', 'D^7', 'E-7', 'Eb7', 'D^7', 'D-7', 'G7', 'E-7', 'Eb7', 'D-7', 'Db7', 'C^7', 'C6', 'C^7', 'C-7', 'F9#11', 'F9#11', 'Bb^7', 'Bb6', 'Bb^7', 'Bb-7', 'Eb9#11', 'Eb9#11', 'Ab^7', 'Ab6', 'Ab^7', 'Ab-7', 'Db9#11', 'Db9#11', 'C^7', 'D-7', 'G7']"
