title,composer,style,key,transpose,comp_style,bpm,repeats,time_signature,chords
A Sleepin' Bee,Arlen Harold,Medium Swing,Ab,,0,0,,"(4, 4)","['Ab^7', 'Eb7sus', 'Ab^7', 'Eb7sus', 'Ab^7', 'D7', 'Db^7', 'Gb7sus', 'Ab^7', 'Db7', 'C7', 'F7', 'Bb-7', 'E7', 'Eb7', 'Db7', 'C9', 'C7b9', 'F13', 'F7b13', 'Bb13', 'Bb7b13', 'Eb9', 'Eb7b9', 'Ab13', 'Ab7b13', 'Db7', 'Bb-7', 'C-7', 'Db6', 'Do', 'Eb7sus', 'Eb7', 'Ab^7', 'Eb7sus', 'Ab^7', 'Eb7sus', 'Ab^7', 'D7', 'Db^7', 'Gb7sus', 'Ab^7', 'Db7', 'C7', 'F7', 'Bb-7', 'E7', 'Eb7', 'Db7', 'C9', 'C7b9', 'F13', 'F7b13', 'Bb13', 'Bb7b13', 'Eb9', 'Eb7b9', 'Ab^7', 'Db^7', 'C7', 'F7', 'Bb7', 'Eb7', 'C7', 'F7', 'Bb7', 'Eb7sus', 'Eb7', 'Ab6', 'B^7', 'E^7', 'A^7']"
A Smooth One,Goodman Benny,Medium Up Swing,F,,0,0,,"(4, 4)","['Bo7', 'Bb6', 'F6/A', 'F6', 'Bo7', 'Bb6', 'F6/A', 'F6', 'Bo7', 'Bb6', 'F6/A', 'F6', 'G7', 'C7', 'F6', 'Bo7', 'Bb6', 'F6/A', 'F6', 'Bo7', 'Bb6', 'F6/A', 'F6', 'Bo7', 'Bb6', 'F6/A', 'F6', 'G7', 'C7', 'F6', 'F7', 'Bb6', 'Bo7', 'F6', 'C-7', 'F7', 'Bb6', 'Bo7', 'F6', 'D7b9', 'Gh7', 'C7', 'Bo7', 'Bb6', 'F6/A', 'F6', 'Bo7', 'Bb6', 'F6/A', 'F6', 'Bo7', 'Bb6', 'F6/A', 'F6', 'G7', 'C7', 'F6']"
A Sound For Sore Ears,Heath Jimmy,Even 8ths,Eb,,0,0,,"(4, 4)","['Bb7sus', 'Bb7sus', 'Bb7sus', 'Bb7sus', 'Bb7sus', 'Bb7sus', 'Bb7sus', 'Bb7sus', 'G7sus', 'G7sus', 'G7sus', 'G7sus', 'G7sus', 'G7sus', 'G7sus', 'G7sus', 'B-7', 'E7', 'A^7', 'Bb-7', 'Eb7', 'Ab^7', 'Ab^7', 'F^7', 'D^7', 'B^7']"
A Sunday Kind Of Love,Belle-Prima-Leonard-Rhodes,Ballad,F,,0,0,,"(4, 4)","['F^7', 'F#o7', 'G-7', 'C7b9', 'A-7', 'D7b9', 'Bb^7', 'Bb-7', 'A-7', 'D7', 'G-7', 'C7#5', 'F^7', 'Dh7', 'G-7', 'Db7', 'C7', 'F^7', 'F#o7', 'G-7', 'C7b9', 'A-7', 'D7b9', 'Bb^7', 'Bb-7', 'A-7', 'D7', 'G-7', 'C7#5', 'F^7', 'F^7', 'C-7', 'F7', 'C-7', 'F7b9', 'Bb^7', 'F7', 'Bb^7', 'G7', 'D-7', 'G7', 'C7', 'F#o7', 'G-7', 'F^7', 'F#o7', 'G-7', 'C7b9', 'A-7', 'D7b9', 'Bb^7', 'Bb-7', 'A-7', 'D7', 'G-7', 'C7#5', 'F^7', 'G-7', 'Bb-', 'F^7']"
A Taste Of Honey,Marlow-Scott,Waltz,D-,,0,0,,"(3, 4)","['D-', 'D-^7', 'D-7', 'G7', 'D-', 'D-^7', 'D-7', 'G7', 'D-', 'D-', 'Bb^7', 'A-7', 'D-', 'D-', 'D-7', 'G7', 'D-7', 'G7', 'Bb^7', 'A-7', 'D-', 'Eh7', 'A7b9']"
A Time For Love,Mandel Johnny,Ballad,F,,0,0,,"(4, 4)","['F^7', 'Eb7/F', 'F6', 'G7', 'G-7', 'G-7/F', 'E-7', 'A7', 'Eh7/A', 'A7b9', 'D-7', 'Eb7/Db', 'F7/C', 'G7', 'G-7', 'G-7/F', 'E-7', 'A7', 'Eh7/A', 'A7b13', 'D-7', 'A7', 'D-7', 'G7', 'C6', 'E7b13', 'A-7', 'A7b13', 'D-7', 'C-6', 'Bh7', 'E7', 'C#-7', 'F#-7', 'G-7', 'C7', 'F^7', 'Eh7', 'A7b9', 'D-7', 'G7', 'G-7', 'G-7/F', 'E-7', 'A7', 'Eh7', 'A7b9', 'D-7', 'G7', 'G-7', 'C7', 'F6', 'C7sus']"
A Tisket A Tasket,Traditional,Medium Swing,Eb,,0,0,,"(4, 4)","['Eb^7', 'Eb^7', 'Eb^7', 'Ab^7', 'G-7', 'C7', 'F-7', 'Bb7', 'F-7', 'Bb7', 'Eb^7', 'Bb7', 'Eb^7', 'Eb^7', 'Eb^7', 'Ab^7', 'G-7', 'C7', 'F-7', 'Bb7', 'F-7', 'Bb7', 'Eb^7', 'Eb7', 'Ab6', 'Ab-6', 'Eb^7', 'Eb7', 'Ab6', 'Ab-6', 'G-7', 'C7', 'F-7', 'Bb7', 'Eb^7', 'Eb^7', 'Eb^7', 'Ab^7', 'G-7', 'C7', 'F-7', 'Bb7', 'F-7', 'Bb7', 'Eb^7']"
A Weaver Of Dreams,Young Victor,Medium Swing,C,,0,0,,"(4, 4)","['C^7', 'C^7', 'Bh7', 'E7b9', 'A-7', 'A-7', 'G-7', 'C7', 'F^7', 'Bb7#11', 'E-7', 'A7', 'D7', 'D7', 'D-7', 'G7', 'C^7', 'C^7', 'Bh7', 'E7b9', 'A-7', 'A-7', 'G-7', 'C7', 'F^7', 'Bb7#11', 'E-7', 'Eb-7', 'Ab7', 'D-7', 'G7', 'C^7', 'D-7', 'G7']"
A Wonderful Day Like Today,Bricusse-Newley,Up Tempo Swing,Eb,,0,0,,"(4, 4)","['Eb^7', 'Eb6', 'Eb^7', 'Eb6', 'F-7', 'Bb7', 'F-7', 'Bb7', 'C7', 'Ab^7', 'F7', 'F-7', 'Bb7', 'Eb^7', 'Eb6', 'Eb^7', 'Eb6', 'F-7', 'Bb7', 'F-7', 'Bb7', 'C7', 'Ab^7', 'F-7', 'Bb7', 'Eb6', 'F-7', 'F#o7', 'G7', 'Ab', 'Ab+', 'Ab6', 'Ab7', 'Ao7', 'Eb^7', 'F-7', 'Bb7', 'Eb^7', 'Eb7', 'Ab^7', 'Ab^7', 'Ah7', 'D7b9', 'G-7', 'C7', 'F7', 'Bb7', 'Eb^7', 'Eb6', 'Eb^7', 'Eb6', 'F-7', 'Bb7', 'F-7', 'Bb7', 'C7', 'Ab^7', 'G7', 'C-7', 'F7', 'F-7', 'Bb7', 'Eb6', 'F-7', 'Bb7']"
Abe My Boy,"L Silberman, A Grock (1919)",Medium Swing,Bb,,Jazz-Medium Swing,100,3,"(4, 4)","['Bb', 'Bb', 'C7', 'C7', 'F7', 'F7', 'Bb', 'Bb7', 'Eb', 'Eb', 'Bb', 'G7', 'C7', 'C7', 'F7', 'F7', 'Bb', 'Bb', 'Bb', 'Bb', 'Bb', 'Bb', 'Bb', 'Bb', 'Bb', 'Bb', 'C7', 'C7', 'F7', 'F7', 'Bb', 'Bb']"
