title,composer,style,key,transpose,comp_style,bpm,repeats,time_signature,notes_numbers
"One I Love (Belongs To Somebody Else), The",Jones Isham,Medium Swing,G,,0,0,,"(4, 4)","[[7, 11, 14, 18], [9, 12, 16, 19], [11, 14, 17, 21], [4, 7, 11, 14], [9, 13, 16, 19], [9, 13, 16, 19], [9, 12, 16, 19], [2, 6, 9, 12], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [7, 11, 14, 18], [9, 13, 16, 19], [4, 7, 11, 14], [9, 13, 16, 19], [9, 12, 16, 19], [2, 6, 9, 12], [4, 7, 11, 14], [9, 13, 16, 19], [4, 7, 11, 14], [9, 13, 16, 19], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [9, 12, 16, 19], [11, 14, 17, 21], [4, 7, 11, 14], [9, 13, 16, 19], [9, 13, 16, 19], [9, 12, 16, 19], [2, 6, 9, 12], [9, 12, 16, 19], [2, 6, 9, 12], [11, 14, 17, 21], [4, 8, 11, 14, 17], [9, 12, 16, 19], [5, 9, 12, 15], [11, 14, 17, 21], [4, 8, 11, 14, 17], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [7, 11, 14, 18]]"
One Morning In May,Carmichael Hoagy,Up Tempo Swing,D,,0,0,,"(4, 4)","[[2, 6, 9, 13], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19], [6, 9, 13, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19], [2, 6, 9, 13], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [4, 7, 10, 14], [9, 13, 16, 19], [2, 6, 9, 11], [11, 14, 18, 21], [4, 8, 11, 14], [9, 13, 16, 19], [6, 9, 13, 16], [4, 7, 11, 14], [3, 7, 10, 13], [2, 6, 9, 13], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19], [6, 9, 13, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19], [2, 6, 9, 13], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [4, 7, 10, 14], [9, 13, 16, 19], [2, 6, 9, 11], [4, 7, 11, 14], [9, 13, 16, 19], [2, 6, 9, 11], [2, 6, 9, 11], [4, 7, 11, 14, 18, 21], [9, 13, 16, 19], [2, 6, 9, 13], [2, 6, 9, 13, 16], [4, 7, 11, 14, 18, 21], [9, 13, 16, 19], [2, 6, 9, 13], [2, 6, 9, 13], [7, 10, 14, 17, 21, 24], [0, 4, 7, 10], [5, 9, 12, 16], [11, 14, 18, 21], [4, 8, 11, 14], [1, 4, 8, 11], [6, 10, 13, 16], [11, 14, 18, 21], [4, 8, 11, 14], [4, 7, 11, 14, 18, 21], [9, 13, 16, 19], [2, 6, 9, 13], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19], [6, 9, 13, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19], [2, 6, 9, 13], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [4, 7, 10, 14], [9, 13, 16, 19], [2, 6, 9, 11], [4, 7, 11, 14], [9, 13, 16, 19], [2, 6, 9, 11], [4, 7, 11, 14], [9, 13, 16, 19]]"
One Note Samba,Jobim Antonio-Carlos,Bossa Nova,Bb,,0,0,,"(4, 4)","[[2, 5, 9, 12], [1, 5, 8, 11], [0, 3, 7, 10], [11, 15, 18, 21, 25, 29], [2, 5, 9, 12], [1, 5, 8, 11], [0, 3, 7, 10], [11, 15, 18, 21, 25, 29], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [8, 12, 15, 18], [2, 5, 9, 12], [1, 5, 8, 11], [0, 3, 7, 10], [11, 15, 18, 21, 25, 29], [10, 14, 17, 19], [3, 6, 10, 13], [8, 12, 15, 18], [1, 5, 8, 12], [1, 5, 8, 12], [1, 4, 8, 11], [6, 10, 13, 16], [11, 15, 18, 22], [0, 3, 6, 10], [5, 9, 12, 15], [2, 5, 9, 12], [1, 5, 8, 11], [0, 3, 7, 10], [11, 15, 18, 21, 25, 29], [2, 5, 9, 12], [1, 5, 8, 11], [0, 3, 7, 10], [11, 15, 18, 21, 25, 29], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [8, 12, 15, 18], [1, 5, 8, 10], [0, 4, 7, 10], [11, 15, 18, 22], [10, 14, 17, 19]]"
Only Trust Your Heart,Carter Benny,Bossa Nova,C,,0,0,,"(4, 4)","[[5, 9, 12, 16, 23], [11, 15, 18, 21, 26], [4, 7, 11, 14], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [7, 11, 15, 17], [0, 4, 7, 11], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16, 23], [11, 15, 18, 21, 26], [4, 7, 11, 14], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [7, 11, 15, 17], [0, 4, 7, 10], [7, 10, 14, 17], [6, 10, 13, 16, 20, 24], [5, 9, 12, 16], [4, 9, 12, 16, 19], [2, 5, 9, 12], [0, 2, 5, 9, 12], [11, 14, 17, 21], [4, 8, 11, 14, 18, 21, 25], [9, 12, 16, 19], [8, 11, 15], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16, 23], [11, 15, 18, 21, 26], [4, 7, 11, 14], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [7, 11, 15, 17], [10, 14, 17, 20, 24, 28], [9, 13, 16, 19], [2, 5, 9, 12], [5, 8, 12, 15], [10, 14, 17, 20], [0, 4, 7, 11], [4, 7, 11, 14], [9, 13, 16, 19, 22], [8, 12, 15, 18, 22, 26], [7, 5, 9, 12, 16], [7, 11, 14, 17, 20], [0, 4, 7, 9], [7, 10, 14, 17], [0, 4, 7, 10]]"
Onmo,Wheeler Kenny,Medium Up Swing,Db,,0,0,,"(4, 4)","[[1, 5, 8, 12], [1, 5, 8, 12], [7, 8, 12, 15, 19, 26], [7, 8, 12, 15, 19, 26], [0, 3, 7], [0, 3, 7], [9, 13, 16, 19], [8, 12, 15, 19, 26], [7, 5, 9, 12], [6, 10, 13, 16], [11, 14, 18], [-3, 2, 6], [7, 11, 14, 18, 25], [4, 7, 11], [0, 4, 7, 11, 18], [8, 12, 15, 18]]"
"Opener, The",Evans Bill,Medium Swing,C,,0,0,,"(4, 4)","[[0, 4, 7, 11], [0, 4, 7, 10], [11, 14, 17, 21], [4, 8, 11, 14], [9, 12, 16, 19], [8, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [11, 14, 17, 21], [4, 8, 11, 14], [9, 12, 16, 19], [2, 6, 9, 12], [7, 10, 14, 17, 21], [0, 4, 7, 10], [5, 9, 12, 16], [10, 14, 17, 20, 24], [0, 4, 7, 9], [4, 8, 11, 14], [9, 12, 16, 19], [4, 8, 11, 14], [9, 12, 16, 19], [2, 6, 9, 12, 16], [2, 5, 9, 12], [7, 11, 14, 17], [8, 11, 14, 18], [1, 5, 8, 11, 15], [0, 4, 7, 11], [0, 4, 7, 10], [11, 14, 17, 21], [4, 8, 11, 14], [9, 12, 16, 19], [8, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [11, 14, 17, 21], [4, 8, 11, 14], [9, 12, 16, 19], [2, 6, 9, 12], [7, 10, 14, 17, 21], [0, 4, 7, 10], [5, 9, 12, 16], [10, 14, 17, 20, 24], [0, 4, 7, 9], [4, 8, 11, 14], [9, 12, 16, 19], [4, 8, 11, 14], [4, 7, 11, 14], [3, 6, 9, 13], [2, 5, 9, 12], [7, 11, 14, 17, 21], [0, 4, 7, 11], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [0, 4, 7, 10], [11, 14, 17, 21], [4, 8, 11, 14], [9, 12, 16, 19], [8, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [11, 14, 17, 21], [4, 8, 11, 14], [9, 12, 16, 19], [2, 6, 9, 12], [7, 10, 14, 17, 21], [0, 4, 7, 10], [5, 9, 12, 16], [10, 14, 17, 20, 24], [0, 4, 7, 9], [4, 8, 11, 14], [9, 12, 16, 19], [4, 8, 11, 14], [9, 12, 16, 19], [2, 6, 9, 12, 16], [2, 5, 9, 12], [7, 11, 14, 17], [8, 11, 14, 18], [1, 5, 8, 11, 15], [0, 4, 7, 11], [0, 4, 7, 10], [11, 14, 17, 21], [4, 8, 11, 14], [9, 12, 16, 19], [8, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [11, 14, 17, 21], [4, 8, 11, 14], [9, 12, 16, 19], [2, 6, 9, 12], [7, 10, 14, 17, 21], [0, 4, 7, 10], [5, 9, 12, 16], [10, 14, 17, 20, 24], [0, 4, 7, 9], [4, 8, 11, 14], [9, 12, 16, 19], [4, 8, 11, 14], [4, 7, 11, 14], [3, 6, 9, 13], [2, 5, 9, 12], [7, 11, 14, 17, 21], [4, 7, 11, 14], [9, 13, 16, 19, 23, 26, 30], [2, 5, 9, 12], [7, 11, 14, 17, 21], [4, 7, 11, 14], [3, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17, 21], [0, 4, 7, 11], [0, 4, 7, 11]]"
Opus De Funk,Silver Horace,Up Tempo Swing,Bb,,0,0,,"(4, 4)","[[10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17, 20], [3, 7, 10, 13], [4, 7, 10, 13], [5, 10, 14, 17], [2, 5, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [10, 14, 17, 20]]"
Orange Colored Sky,DeLugg-Stein,Medium Swing,Bb,,0,0,,"(4, 4)","[[10, 14, 17, 19], [11, 14, 17, 20], [0, 3, 7, 10], [1, 4, 7, 10], [2, 10, 14, 17], [8, 12, 15, 18, 22, 26], [7, 11, 14, 17, 21], [0, 3, 7, 10], [1, 4, 7, 10], [2, 10, 14, 17], [7, 11, 14, 17, 21, 24, 28], [0, 3, 7, 10], [5, 9, 12, 15], [2, 5, 9], [7, 11, 14, 17], [0, 3, 7], [5, 9, 12, 15], [10, 14, 17, 19], [11, 14, 17, 20], [0, 3, 7, 10], [1, 4, 7, 10], [2, 10, 14, 17], [8, 12, 15, 18, 22, 26], [7, 11, 14, 17, 21], [0, 3, 7, 10], [1, 4, 7, 10], [2, 10, 14, 17], [7, 11, 14, 17, 21, 24, 28], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [10, 14, 17, 20], [3, 7, 10, 14], [10, 14, 18, 20, 25], [9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 10, 14], [7, 10, 14], [7, 10, 14, 15], [7, 10, 14, 16], [7, 10, 14, 17], [5, 9, 12, 15], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 19], [11, 14, 17, 20], [0, 3, 7, 10], [1, 4, 7, 10], [2, 10, 14, 17], [8, 12, 15, 18, 22, 26], [7, 11, 14, 17, 21], [0, 3, 7, 10], [1, 4, 7, 10], [2, 10, 14, 17], [7, 11, 14, 17, 21, 24, 28], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21]]"
Ornithology,Parker Charlie,Up Tempo Swing,G,,0,0,,"(4, 4)","[[7, 11, 14, 18], [7, 11, 14, 18], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 10, 14, 17], [9, 12, 15, 19], [2, 6, 9, 12, 15], [11, 14, 18, 21], [4, 7, 11, 14], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [7, 11, 14, 18], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 11, 14, 18], [9, 12, 16, 19], [2, 6, 9, 12], [11, 14, 18, 21], [4, 8, 11, 14], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 16], [9, 12, 16, 19], [2, 6, 9, 12]]"
Our Delight,Dameron Tad,Medium Swing,Ab,,0,0,,"(4, 4)","[[10, 14, 17, 20, 24, 27, 31], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15, 19], [5, 9, 12, 15, 19], [10, 14, 17, 20, 24, 27, 31], [10, 13, 17, 20], [11, 14, 17, 20], [0, 8, 12, 15], [11, 14, 17, 20], [10, 13, 17, 20], [5, 9, 12, 15], [0, 8, 12, 15], [11, 14, 17, 20], [10, 13, 17, 20], [8, 12, 15, 19], [3, 6, 10, 13], [8, 12, 15, 18, 21, 25, 28], [1, 5, 8, 12], [1, 5, 8, 12], [1, 4, 8, 11], [8, 12, 15, 18], [0, 3, 7, 10], [5, 9, 12, 15], [11, 14, 18, 21], [4, 8, 11, 14], [10, 13, 17, 20], [3, 7, 10, 13], [10, 14, 17, 20, 24, 27, 31], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15, 19], [5, 9, 12, 15], [10, 14, 17, 20], [10, 13, 17, 20], [11, 14, 17, 20], [0, 8, 12, 15], [11, 14, 17, 20], [10, 13, 17, 20], [8, 12, 15, 19]]"
Our Love is Here to Stay,Gershwin George,Medium Swing,F,,0,0,,"(4, 4)","[[7, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14], [10, 14, 17, 20], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [3, 7, 10, 13], [2, 6, 9, 12], [11, 14, 18, 21], [4, 8, 11, 14], [9, 12, 16, 19], [2, 6, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [10, 14, 17, 21], [4, 7, 10, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [2, 6, 9, 12], [7, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14], [10, 14, 17, 20], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [3, 7, 10, 13], [2, 6, 9, 12], [11, 14, 18, 21], [4, 8, 11, 14], [9, 12, 16, 19], [2, 6, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [3, 7, 10, 13], [2, 6, 9, 12], [7, 10, 14, 17], [8, 11, 14, 17], [9, 12, 16, 19], [2, 6, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14], [2, 6, 9, 12]]"
Out Of Nowhere,Green Johnny,Medium Swing,G,,0,0,,"(4, 4)","[[7, 11, 14, 18], [7, 11, 14, 18], [10, 13, 17, 20], [3, 7, 10, 13], [7, 11, 14, 18], [7, 11, 14, 18], [11, 14, 18, 21], [4, 8, 11, 14, 17], [9, 12, 16, 19], [4, 8, 11, 14, 17], [9, 12, 16, 19], [9, 12, 16, 19], [3, 7, 10, 13], [3, 7, 10, 13], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [7, 11, 14, 18], [10, 13, 17, 20], [3, 7, 10, 13], [7, 11, 14, 18], [7, 11, 14, 18], [11, 14, 18, 21], [4, 8, 11, 14, 17], [9, 12, 16, 19], [4, 8, 11, 14, 17], [9, 12, 16, 19], [0, 3, 7, 9], [11, 14, 18, 21], [10, 13, 16, 19], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 16], [9, 12, 16, 19], [2, 6, 9, 12]]"
Out Of This World,Arlen Harold,Latin,Eb,,0,0,,"(4, 4)","[[3, 10, 13, 17], [3, 6, 10, 13], [3, 7, 10, 13], [3, 6, 10, 13], [3, 10, 13, 17], [3, 6, 10, 13], [3, 8, 10, 13], [3, 7, 10, 13], [3, 6, 10, 13], [3, 6, 10, 12], [8, 11, 15, 18], [8, 12, 15, 18], [3, 7, 10, 12], [4, 7, 10, 13], [5, 8, 12, 15], [10, 14, 18, 20], [3, 10, 13, 17], [3, 6, 10, 13], [3, 7, 10, 13], [3, 6, 10, 13], [3, 10, 13, 17], [3, 6, 10, 13], [3, 8, 10, 13], [3, 7, 10, 13], [3, 6, 10, 13], [3, 6, 10, 12], [8, 11, 15, 18], [8, 12, 15, 18], [3, 7, 10, 12], [3, 7, 10, 12], [3, 7, 10, 12], [2, 5, 8, 12], [7, 11, 14, 17, 20], [0, 3, 7, 9], [0, 3, 7, 9], [0, 3, 7, 9], [0, 3, 7, 9], [0, 3, 7, 9], [0, 3, 6, 9], [8, 12, 15, 18, 22, 26], [7, 11, 14, 17], [0, 3, 7], [0, 3, 7, 8], [0, 3, 7, 9], [8, 12, 15, 18], [0, 3, 7, 9], [8, 12, 15, 18], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20]]"
Over The Rainbow (Somewhere),Arlen Harold,Ballad,Eb,,0,0,,"(4, 4)","[[3, 7, 10, 12], [0, 3, 7], [5, 8, 12], [10, 14, 17, 20], [3, 7, 10, 14], [0, 3, 7], [5, 8, 12], [10, 14, 17, 20], [3, 7, 10, 12], [3, 7, 10, 14], [5, 8, 12, 15, 19], [10, 14, 17, 20, 24, 27, 31], [3, 7, 10, 12], [0, 3, 7], [5, 8, 12], [10, 14, 17, 20], [3, 7, 10, 12], [0, 3, 7], [3, 6, 10], [10, 14, 17, 20], [3, 7, 10, 14], [0, 3, 7], [7, 11, 14, 17], [0, 3, 7, 10, 14], [-2, 0, 3, 7], [5, 10, 12, 15], [5, 9, 12, 15], [5, 8, 12, 15, 19, 22], [10, 15, 17, 20, 24, 26], [5, 8, 12, 15, 19, 22], [10, 15, 17, 20, 24, 26], [5, 8, 12], [10, 14, 17, 20], [3, 7, 10, 12], [0, 3, 7, 10], [7, 10, 14, 17], [3, 7, 10, 14], [8, 12, 15, 19], [9, 12, 15, 18], [7, 10, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [1, 5, 8, 11], [7, 10, 14, 17], [0, 4, 7, 10, 13], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [10, 14, 17, 20], [3, 7, 10, 12], [0, 3, 7, 10], [7, 10, 14, 17], [3, 7, 10, 14], [8, 12, 15, 19], [9, 12, 15, 18], [7, 10, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [1, 5, 8, 11], [7, 10, 14, 17], [0, 4, 7, 10, 13], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [10, 14, 17, 20], [3, 7, 10, 12], [5, 8, 12, 15], [10, 14, 17, 20], [7, 10, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 10, 14, 17], [6, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [9, 12, 15, 19], [2, 6, 9, 12], [7, 10, 14, 17], [3, 7, 10, 14], [8, 12, 15, 19], [9, 12, 15, 18], [7, 10, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [1, 5, 8, 11], [7, 10, 14, 17], [0, 4, 7, 10, 13], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [10, 14, 17, 20]]"
P.S. I Love You,Jenkins Gordon,Ballad,Eb,,0,0,,"(4, 4)","[[3, 7, 10, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [7, 10, 13, 17], [0, 4, 7, 10, 13], [5, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [5, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [1, 5, 8, 11], [3, 7, 10, 12], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15, 19], [8, 12, 15, 19], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [0, 4, 8, 10], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [7, 10, 13, 17], [0, 4, 7, 10, 13], [5, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [1, 5, 8, 11], [3, 7, 10, 12]]"
Palo Alto,Konitz Lee,Up Tempo Swing,F,,0,0,,"(4, 4)","[[5, 9, 12, 16], [5, 9, 12, 16], [2, 6, 9, 12, 15], [2, 6, 9, 12, 15], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21, 28], [10, 14, 17, 21, 28], [7, 11, 14, 17, 20], [7, 11, 14, 17, 20], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17], [0, 4, 7, 10, 15], [5, 9, 12, 16], [5, 9, 12, 16], [4, 7, 10, 14], [9, 13, 16, 19, 22], [7, 11, 14, 17, 21, 25], [7, 11, 14, 17, 21, 25], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [2, 6, 9, 12, 16, 20], [2, 6, 9, 12, 16, 20], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [2, 5, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10]]"
Pannonica,Monk Thelonious,Ballad,C,,0,0,,"(4, 4)","[[0, 4, 7, 11], [3, 6, 10, 13], [8, 12, 15, 18], [2, 5, 9, 12], [10, 14, 17, 20], [3, 7, 10, 14], [9, 13, 16, 19, 23, 27], [8, 12, 15, 18], [1, 5, 8, 11], [6, 10, 13, 17], [5, 9, 13, 15], [3, 6, 10, 13], [8, 12, 15, 18], [7, 11, 14, 17], [1, 5, 8, 12], [0, 4, 7, 11], [3, 6, 10, 13], [8, 12, 15, 18], [2, 5, 9, 12], [10, 14, 17, 20], [3, 7, 10, 14], [9, 13, 16, 19, 23, 27], [8, 12, 15, 18], [1, 5, 8, 11], [6, 10, 13, 17], [5, 9, 13, 15], [3, 6, 10, 13], [8, 12, 15, 18], [7, 11, 14, 17], [1, 5, 8, 12], [7, 10, 14, 17], [0, 4, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [6, 10, 13, 16], [11, 15, 18, 22], [2, 5, 9, 12], [7, 11, 14, 17, 21, 24, 28], [0, 4, 7, 11], [7, 10, 14, 17], [0, 4, 7, 10], [11, 14, 18, 21], [4, 8, 11, 14], [9, 13, 16, 19], [2, 6, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [3, 6, 10, 13], [8, 12, 15, 18], [2, 5, 9, 12], [10, 14, 17, 20], [3, 7, 10, 14], [9, 13, 16, 19, 23, 27], [8, 12, 15, 18], [1, 5, 8, 11], [6, 10, 13, 17], [5, 9, 13, 15], [3, 6, 10, 13], [8, 12, 15, 18], [7, 11, 14, 17], [2, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17], [1, 5, 8, 12]]"
Paper Doll,Black Johnny,Slow Swing,F,,0,0,,"(4, 4)","[[5, 9, 12, 16], [2, 6, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14], [9, 5, 12, 16, 19], [8, 5, 12, 16], [-5, 0, 4, 11], [9, 13, 16, 19], [7, 11, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14], [7, 10, 14, 17], [0, 4, 7, 10], [9, 13, 16, 19], [10, 14, 17], [11, 14, 17, 20], [5, 9, 12], [9, 13, 16, 19], [2, 6, 9, 12], [2, 6, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14]]"
Parisian Thoroughfare,Powell Bud,Up Tempo Swing,F,,0,0,,"(4, 4)","[[5, 9, 12, 16], [7, 10, 14, 17], [0, 4, 7, 10], [9, 12, 16, 19, 23, 26], [2, 6, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [7, 10, 14, 17], [0, 4, 7, 10], [9, 12, 16, 19, 23, 26], [2, 6, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [11, 14, 18, 21], [4, 8, 11, 14], [9, 13, 16, 20], [11, 14, 18, 21], [4, 8, 11, 14], [9, 13, 16, 20], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [2, 5, 9, 12], [7, 11, 14, 17], [7, 10, 14, 17], [0, 4, 6, 10], [5, 9, 12, 16], [7, 10, 14, 17], [0, 4, 7, 10], [9, 12, 16, 19, 23, 26], [2, 6, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [7, 10, 14, 17], [0, 4, 7, 10]]"
Parker's Mood,Parker Charlie,Medium Swing,Bb,,0,0,,"(4, 4)","[[10, 14, 17, 20], [3, 7, 10, 13], [10, 14, 17, 20], [10, 14, 17, 20], [3, 7, 10, 13], [3, 7, 10, 13], [10, 14, 17, 20], [10, 14, 17, 20], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [5, 9, 12, 15]]"
"Party's Over, The",Styne-Comden-Green,Ballad,Eb,,0,0,,"(4, 4)","[[3, 7, 10, 14], [0, 3, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [0, 3, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [8, 12, 15, 19], [7, 10, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [8, 11, 15, 17], [1, 5, 8, 11, 15], [3, 7, 10, 14], [3, 7, 10, 12], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [0, 3, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [0, 3, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15, 19], [10, 14, 17, 20], [7, 10, 13, 17], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [0, 3, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [5, 8, 12, 15], [10, 14, 17, 20]]"
